company_name,batch,short_description,founder_name,founder_linkedin_url
CircuitHub,Winter 2012,On-Demand Electronics Manufacturing,Andrew Seddon,https://www.linkedin.com/in/seddonandrew/
iCracked,Winter 2012,On-demand smartphone repair in 3 countries and launching smart home…,Tony Martin,https://linkedin.com/in/anthonyjohnmartin
42Floors,Winter 2012,We make it easy to search for office space.,Jason Freedman,https://www.linkedin.com/in/jasonfreedman/
42Floors,Winter 2012,We make it easy to search for office space.,James Bracy,https://www.linkedin.com/in/waratuman/
42Floors,Winter 2012,We make it easy to search for office space.,Jonathan Bracy,https://www.linkedin.com/in/jonbracy/
PlanGrid,Winter 2012,Mobile applications for the construction industry.,Tracy Young,https://www.linkedin.com/in/tracy-young-0a17441
PlanGrid,Winter 2012,Mobile applications for the construction industry.,Ralph Gootee,https://www.linkedin.com/in/ralphleon/
PlanGrid,Winter 2012,Mobile applications for the construction industry.,Ryan Sutton-Gee,https://www.linkedin.com/in/rsuttong
WireOver,Winter 2012,Really secure file sending for big files.,Amit Bansil,https://www.linkedin.com/in/amitbansil/
The Muse,Winter 2012,The Muse is values-based job search & hiring for 7M+ monthly,Kathryn Minshew,https://www.linkedin.com/in/kathryn-minshew/
The Muse,Winter 2012,The Muse is values-based job search & hiring for 7M+ monthly,Alex Cavoulacos,https://www.linkedin.com/in/acavoulacos/
SendHub,Winter 2012,Simple Business SMS. SMBs to Large Enterprise.,,
Hipmob,Winter 2012,Customer communication for iOS and Android developers - an in-app…,Olufemi Omojola,https://www.linkedin.com/in/kalvin
MyVR,Winter 2012,The open platform for the vacation rental industry.,Jonathan Murray,https://www.linkedin.com/in/jonmurray/
MyVR,Winter 2012,The open platform for the vacation rental industry.,Markus Nordvik,https://www.linkedin.com/in/mnordvik/
MyVR,Winter 2012,The open platform for the vacation rental industry.,Mike Stachowiak,https://www.linkedin.com/in/mstachowiak/
HireArt,Winter 2012,Gives businesses everything needed to hire & manage W2 contractors.,Nicholas Sedlet,https://www.linkedin.com/in/nick-sedlet
